,cell1_cu_watts,cell1_du_watts,cell1_ru_watts,cell1_cu_joules,cell1_du_joules,cell1_ru_joules,cell1_total_watts,cell1_total_joules,cell2_cu_watts,cell2_du_watts,cell2_ru_watts,cell2_cu_joules,cell2_du_joules,cell2_ru_joules,cell2_total_watts,cell2_total_joules
2025-09-29 15:21:05,0.09426516325449125,11.736012825185233,51.3,27593.197749000003,142558.02611900002,18936.5,63.13027798843972,189087.72386800003,0.09426516325449125,11.641747661945743,50.9,27593.197749000003,152836.209283,18814.0,62.63601282520023,199243.40703200002
2025-09-29 15:21:10,0.04574292600108786,11.115531018275792,51.2,27593.493336,142618.253074,19192.5,62.36127394427688,189404.24641000002,0.04574292600108786,11.710189056295135,51.0,27593.493336,152898.321472,19069.0,62.755931982296225,199560.814808
2025-09-29 15:21:15,0.04215482449198376,10.201467527077323,51.1,27593.779231999997,142676.222331,19448.0,61.34362235156931,189718.001563,0.04215482449198376,10.201467527077323,50.8,27593.779231999997,152957.736672,19323.0,61.043622351569304,199874.515904
2025-09-29 15:21:20,0.06275220054370305,11.73466150167675,51.2,27594.112648,142731.910783,19704.0,62.997413702220456,190030.023431,0.06275220054370305,11.922918103323555,50.7,27594.112648,153014.415564,19576.5,62.68567030386726,200185.028212
2025-09-29 15:21:25,0.06928948234087107,9.70052752771565,51.2,27594.382769,142784.60272400003,19960.0,60.96981701005652,190338.98549300001,0.06928948234087107,10.046974939440483,50.9,27594.382769,153068.638573,19831.0,61.01626442178135,200494.021342
2025-09-29 15:21:30,0.040257731162837145,9.82288640375057,51.1,27594.616895,142836.25412899998,20215.5,60.963144134913406,190646.371024,0.040257731162837145,9.863144134907001,50.9,27594.616895,153121.734676,20085.5,60.803401866069834,200801.851571
2025-09-29 15:21:35,0.08576567432139304,11.449717521908896,51.2,27594.958457999997,142897.751197,20471.5,62.73548319623029,190964.209655,0.08576567432139304,10.377646592906109,50.9,27594.958457999997,153181.412236,20340.0,61.3634122672275,201116.370694
2025-09-29 15:21:40,0.05676007981671434,12.033136921148603,51.1,27595.251736000002,142957.344949,20727.0,63.18989700096532,191279.596685,0.05676007981671434,12.260177240420623,50.7,27595.251736000002,153239.72223500002,20593.5,63.01693732023734,201428.47397100003
2025-09-29 15:21:45,0.062144970912656874,10.751079967896702,51.1,27595.544822,143016.83023599998,20982.5,61.913224938809364,191594.87505799998,0.062144970912656874,10.378210142434893,51.0,27595.544822,153297.573598,20848.5,61.44035511334755,201741.61841999998
2025-09-29 15:21:50,0.052366182299479966,12.253686658090219,51.2,27595.816159,143075.752125,21238.5,63.5060528403897,191910.068284,0.052366182299479966,12.986813210299609,50.9,27595.816159,153355.072436,21103.0,63.93917939259909,202053.888595
