,cu_watts,du_watts,ru_watts,cu_joules,du_joules,ru_joules,total_watts,total_joules
2025-09-29 09:11:25,0.08210381219557156,,50.8,26129.627095999997,,69633.0,50.88210381219557,95762.627096
2025-09-29 09:11:30,0.04231651223514927,,50.7,26129.950907,,69886.5,50.74231651223515,96016.45090699999
2025-09-29 09:11:35,0.09295990243382103,,50.6,26130.338386,,70139.5,50.69295990243382,96269.838386
2025-09-29 09:11:40,0.05193083083553795,,50.6,26130.651929,,70392.5,50.65193083083554,96523.151929
2025-09-29 09:11:45,0.060505168276690856,,50.6,26130.960772,,70645.5,50.66050516827669,96776.46077199999
2025-09-29 09:11:50,0.08741174757810803,,50.8,26131.327374999997,,70899.5,50.887411747578106,97030.827375
2025-09-29 09:11:55,0.07421908205145696,,50.6,26131.641784,,71152.5,50.67421908205146,97284.141784
2025-09-29 09:12:00,0.1268032704449394,,50.6,26132.040806,,71405.5,50.72680327044494,97537.540806
2025-09-29 09:12:05,0.04818474040656599,,50.6,26132.411201000003,,71658.5,50.64818474040657,97790.91120100001
2025-09-29 09:12:10,0.0,,50.8,26132.728238,,71912.5,50.8,98045.228238
2025-09-29 09:12:15,0.07512177772756128,,50.7,26133.086221999998,,72166.0,50.77512177772756,98299.086222
2025-09-29 09:12:20,0.1454247823334956,,50.6,26133.45026,,72419.0,50.745424782333494,98552.45026
2025-09-29 09:12:25,0.04995335584659751,,50.6,26133.820899000002,,72672.0,50.6499533558466,98805.820899
2025-09-29 09:12:30,0.055430683649412955,,50.8,26134.123482,,72926.0,50.85543068364941,99060.123482
2025-09-29 09:12:35,0.07584279042751647,,50.7,26134.459278000002,,73179.5,50.77584279042752,99313.959278
2025-09-29 09:12:40,0.09869191282237662,,50.6,26134.789394,,73432.5,50.698691912822376,99567.28939399999
2025-09-29 09:12:45,0.10357844734826387,,50.6,26135.179902,,73685.5,50.703578447348264,99820.679902
2025-09-29 09:12:50,0.1028195193059445,,50.8,26135.565029,,73939.5,50.90281951930594,100075.065029
2025-09-29 09:12:55,0.06042550185201605,,50.8,26135.878912,,74193.5,50.86042550185201,100329.378912
2025-09-29 09:13:00,0.08317603738925998,,50.6,26136.305195,,74446.5,50.68317603738926,100582.805195
2025-09-29 09:13:05,0.0488695157926035,,50.6,26136.623719,,74699.5,50.648869515792605,100836.123719
2025-09-29 09:13:10,0.04907616360965775,,50.8,26137.005996,,74953.5,50.84907616360965,101090.50599599999
2025-09-29 09:13:15,0.04415364777196838,,50.6,26137.376757,,75206.5,50.64415364777197,101343.876757
2025-09-29 09:13:20,0.06271886209741487,,50.6,26137.674507,,75459.5,50.662718862097414,101597.174507
2025-09-29 09:13:25,0.07179269389454364,,50.7,26138.016537,,75713.0,50.77179269389455,101851.016537
2025-09-29 09:13:30,0.08397662708330851,,50.9,26138.367326,,75967.5,50.98397662708331,102105.867326
2025-09-29 09:13:35,0.038838428405871914,,50.7,26138.607556,,76221.0,50.73883842840588,102359.607556
2025-09-29 09:13:40,0.04917807735902071,,50.6,26138.993902,,76474.0,50.649178077359025,102612.993902
2025-09-29 09:13:45,0.057835087432126994,,50.6,26139.321303,,76727.0,50.657835087432126,102866.321303
2025-09-29 09:13:50,0.0898707184233128,,50.8,26139.623422,,76981.0,50.88987071842331,103120.623422
2025-09-29 09:13:55,0.07084358459237096,,50.6,26139.911343,,77234.0,50.670843584592376,103373.911343
2025-09-29 09:14:00,0.03958546272723116,,50.8,26140.299687000002,,77488.0,50.83958546272723,103628.299687
2025-09-29 09:14:05,0.05055328717814325,,50.9,26140.606542,,77742.5,50.95055328717814,103883.106542
2025-09-29 09:14:10,0.06748421120129959,,50.6,26140.917074,,77995.5,50.6674842112013,104136.417074
2025-09-29 09:14:15,0.09355784762809283,,50.7,26141.232019,,78249.0,50.793557847628094,104390.232019
2025-09-29 09:14:20,0.0,,50.8,26141.489307,,78503.0,50.8,104644.489307
2025-09-29 09:14:25,0.14484196256699666,,50.5,26141.944684000002,,78755.5,50.644841962567,104897.444684
2025-09-29 09:14:30,0.06513653481096503,,50.7,26142.304971,,79009.0,50.76513653481097,105151.304971
2025-09-29 09:14:35,0.0,,50.8,26142.628115,,79263.0,50.8,105405.628115
2025-09-29 09:14:40,0.09629077084339693,,50.6,26142.945119,,79516.0,50.6962907708434,105658.945119
2025-09-29 09:14:45,0.048355835285988726,,50.7,26143.203455,,79769.5,50.74835583528599,105912.703455
2025-09-29 09:14:50,0.05870627851233776,,50.9,26143.689878999998,,80024.0,50.95870627851234,106167.689879
